application_date,permit_status,permit_type,event_category,event_sub_category,name_of_event,year_month_app,event_start_date,event_end_date,event_location_park,event_location_neighborhood,council_district,precinct,organization,attendance
03/17/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Seattle Good Bar,S16MR181,03/31/2016 12:00:00 AM,03/31/2016 12:00:00 AM,,Pioneer Square,7,West,Red Carpet Valet,80.0
03/17/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Jessica Atkinson,S16MR183,03/30/2016 12:00:00 AM,03/30/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,100.0
11/30/2015 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,The Color Run Seattle 2016,S16MY009,05/08/2016 12:00:00 AM,05/08/2016 12:00:00 AM,,Queen Anne,7,West,"The Color Run, LLC",9000.0
12/16/2015 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,West Seattle 5K Run/Walk,S16MY028,05/22/2016 12:00:00 AM,05/22/2016 12:00:00 AM,,West Seattle,1,Southwest,West Seattle High School PTSA,1400.0
12/23/2015 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,2016 Seattle Lung Force Walk,S16MY036,05/07/2016 12:00:00 AM,05/07/2016 12:00:00 AM,,South Lake Union,7,West,American Lung Association of the Mountain Pacific,750.0
02/19/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Fiesta 5K Ole,S16MY047,05/07/2016 12:00:00 AM,05/07/2016 12:00:00 AM,Volunteer Park,Capitol Hill,3,East,"Fizz Events, LLC",5100.0
01/20/2016 12:00:00 AM,Complete,Special Event,Community,,Northwest Folklife Staging and Production,S16MY060,05/24/2016 12:00:00 AM,06/01/2016 12:00:00 AM,,Queen Anne,7,West,Northwest Folklife Staging and Production,1000.0
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Opening Day of Boating Season Parade,S16MY064,05/07/2016 12:00:00 AM,05/07/2016 12:00:00 AM,,Portage Bay,3;4,North,Seattle Yacht Club,4700.0
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (5.07),S16MY071,05/07/2016 12:00:00 AM,05/07/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705.0
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (5.21),S16MY072,05/21/2016 12:00:00 AM,05/21/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705.0
01/27/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Great Strides Seattle,S16MY092,05/22/2016 12:00:00 AM,05/22/2016 12:00:00 AM,,Queen Anne,7,North;West,Cystic Fibrosis Foundation,750.0
01/28/2016 12:00:00 AM,Complete,Special Event,Community,,Taco Libre,S16MY094,05/01/2016 12:00:00 AM,05/01/2016 12:00:00 AM,,Fremont,6,North,Piranha Blonde Creative,10100.0
01/29/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Brooks Trailhead 10K and 15K,S16MY097,05/22/2016 12:00:00 AM,05/22/2016 12:00:00 AM,Gas Works Park,Multiple Neighborhoods,3;4;6,East;North;West,Snohomish Running Company,1450.0
02/01/2016 12:00:00 AM,Complete,Special Event,Commercial,,Cinco de Mayo Tacos Guaymas,S16MY102,05/05/2016 12:00:00 AM,05/05/2016 12:00:00 AM,,Green Lake,6,North,Tacos Guaymas/Salvador Sahagun,950.0
02/10/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Nordstrom Beat the Bridge 8K Run and Walk,S16MY117,05/15/2016 12:00:00 AM,05/15/2016 12:00:00 AM,,University District,3;4,North,Nordstrom - NW Event Marketing,11000.0
02/10/2016 12:00:00 AM,Complete,Special Event,Community,,West Seattle Bee Festival,S16MY119,05/21/2016 12:00:00 AM,05/21/2016 12:00:00 AM,,West Seattle,1,West,"High Point Open Spaces Association, Events Committee",450.0
02/10/2016 12:00:00 AM,Complete,Special Event,Commercial,,Sonia & Kiran Wedding Procession,S16MY120,05/21/2016 12:00:00 AM,05/21/2016 12:00:00 AM,,Downtown,7,West,Sarika Paul,70.0
02/16/2016 12:00:00 AM,Cancelled,Special Event,Commercial,,OWSLA Sound System,S16MY125,05/21/2016 12:00:00 AM,05/21/2016 12:00:00 AM,,Downtown,7,West,Upper Left,6100.0
02/16/2016 12:00:00 AM,Complete,Special Event,Community,,University District Street Fair,S16MY131,05/20/2016 12:00:00 AM,05/22/2016 12:00:00 AM,,University District,4,North,The U District Partnership,31075.0
02/22/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Norwegian 17th of May Parade,S16MY142,05/17/2016 12:00:00 AM,05/17/2016 12:00:00 AM,,Ballard,6,North,Seattle Norwegian 17th of May Committee,4500.0
02/22/2016 12:00:00 AM,Complete,Special Event,Commercial,,Localicious - Living Future 2016,S16MY148,05/12/2016 12:00:00 AM,05/13/2016 12:00:00 AM,,Downtown,7,West,International Living Future Institute,1870.0
03/01/2016 12:00:00 AM,Complete,Special Event,Community,,Madrona Mayfair,S16MY152,05/14/2016 12:00:00 AM,05/14/2016 12:00:00 AM,,Madrona,3,East,Madrona Community Council,525.0
03/03/2016 12:00:00 AM,Complete,Special Event,Free Speech,,March Against Monsanto - Seattle 2016,S16MY156,05/21/2016 12:00:00 AM,05/21/2016 12:00:00 AM,,Downtown,7,West,March Against Monsanto - Seattle,922.0
03/07/2016 12:00:00 AM,Complete,Special Event,Commercial,,National Geographic Live (5.15-5.16),S16MY162,05/16/2016 12:00:00 AM,05/17/2016 12:00:00 AM,,Downtown,7,West,Benaroya Hall,1200.0
03/07/2016 12:00:00 AM,Complete,Special Event,Community,,Homeless Veterans Day,S16MY163,05/30/2016 12:00:00 AM,05/30/2016 12:00:00 AM,,Pioneer Square,7,West,Bread of Life Mission,2580.0
03/10/2016 12:00:00 AM,In Process,Special Event,Commercial,,Seattle Symphony Link Up (5.11),S16MY171,05/11/2016 12:00:00 AM,05/11/2016 12:00:00 AM,,Downtown,7,West,Seattle Symphony,3825.0
03/10/2016 12:00:00 AM,In Process,Special Event,Commercial,,Seattle Symphony Link Up (5.18-5.19),S16MY172,05/18/2016 12:00:00 AM,05/19/2016 12:00:00 AM,,Downtown,7,West,Seattle Symphony,6855.0
03/14/2016 12:00:00 AM,Cancelled,Special Event,Community,,Cascadia Day Community Celebration,S16MY174,05/21/2016 12:00:00 AM,05/21/2016 12:00:00 AM,,Fremont,6,North,CascadiaNow!,250.0
03/17/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - SODO Park,S16MY184,05/15/2016 12:00:00 AM,05/15/2016 12:00:00 AM,,Sodo,2,South,Red Carpet Valet,150.0
03/17/2016 12:00:00 AM,Complete,Special Event,Athletic,Water,Opening Day Windermere Cup,S16MY188,05/07/2016 12:00:00 AM,05/07/2016 12:00:00 AM,,Portage Bay,3;4,North;South,University of Washington Rowing,5500.0
03/21/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Ice Cream Festival,S16MY193,05/22/2016 12:00:00 AM,05/22/2016 12:00:00 AM,,Capitol Hill,3,East,Dunn & Hobbes,2530.0
03/28/2016 12:00:00 AM,Complete,Special Event,Commercial,,Fuel Outdoor Beer Garden (5.7),S16MY207,05/07/2016 12:00:00 AM,05/07/2016 12:00:00 AM,,Pioneer Square,7,South,Fuel Sports Eats and Beats,420.0
03/31/2016 12:00:00 AM,Complete,Special Event,Commercial,,Diversified Production Services,S16MY223,05/17/2016 12:00:00 AM,05/17/2016 12:00:00 AM,,Fremont,6,North,Fremont Studios,230.0
04/01/2016 12:00:00 AM,Complete,Special Event,Community,,National Park Services BioBlitz,S16MY225,05/21/2016 12:00:00 AM,05/21/2016 12:00:00 AM,,Pioneer Square,2,South,InterIm CDA,280.0
12/02/2015 12:00:00 AM,Complete,Special Event,Commercial,,My Macy's Starlighting and Fireworks,S16NO016,11/25/2016 12:00:00 AM,11/25/2016 12:00:00 AM,,Downtown,7,West,Macy's Inc,15010.0
12/02/2015 12:00:00 AM,In Process,Special Event,Citywide,,My Macy's Holiday Parade,S16NO018,11/25/2016 12:00:00 AM,11/25/2016 12:00:00 AM,,Downtown,7,West,Macy's Inc.,23000.0
01/21/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Seattle Turkey Trot,S16NO083,11/24/2016 12:00:00 AM,11/24/2016 12:00:00 AM,,Ballard,6,North,Ballard Food Bank,4600.0
10/05/2015 12:00:00 AM,Complete,Special Event,Athletic,Water,Tail of the Lake Regatta,S16OC006,10/02/2016 12:00:00 AM,10/02/2016 12:00:00 AM,,South Lake Union,4,West,Holy Names Academy,950.0
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (10.12),S16OC081,10/12/2016 12:00:00 AM,10/12/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705.0
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (10.23),S16OC082,10/23/2016 12:00:00 AM,10/23/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705.0
01/26/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,PurpleStride Puget Sound 2016,S16OC090,10/30/2016 12:00:00 AM,10/30/2016 12:00:00 AM,,Sand Point,4,North,Pancreatic Cancer Action Network,2700.0
02/01/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Making Strides Against Breast Cancer of Seattle,S16OC099,10/29/2016 12:00:00 AM,10/29/2016 12:00:00 AM,,Queen Anne,7,West,"AMERICAN CANCER SOCIETY, INC.",3600.0
12/01/2015 12:00:00 AM,In Process,Special Event,Mixed Free Speech,,San Gennaro Festival,S16SE004,09/09/2016 12:00:00 AM,09/11/2016 12:00:00 AM,,Georgetown,2,South,San Gennaro Foundation - Seattle,2010.0
12/07/2015 12:00:00 AM,Complete,Special Event,Free Speech,,Mass of the Holy Spirit Procession,S16SE024,09/29/2016 12:00:00 AM,09/29/2016 12:00:00 AM,,First Hill,3,East,Seattle University,410.0
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (9.17),S16SE079,09/17/2016 12:00:00 AM,09/17/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705.0
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (9.28),S16SE080,09/28/2016 12:00:00 AM,09/28/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705.0
02/02/2016 12:00:00 AM,Complete,Special Event,Commercial,,Fremont Oktoberfest,S16SE104,09/23/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,Fremont,6,North,Fremont Chamber of Commerce,16450.0
02/02/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Fremont Oktoberfest Alpine Climb 5K,S16SE105,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,Gas Works Park,Fremont,6,North,Bold Hat Productions,1230.0
02/16/2016 12:00:00 AM,Complete,Special Event,Athletic,Other,US Gaelic Athletic Association Finals,S16SE135,09/02/2016 12:00:00 AM,09/04/2016 12:00:00 AM,,Sand Point,4,North,Irish Heritage Club/Seattle Gaels,7500.0
03/07/2016 12:00:00 AM,Complete,Special Event,Free Speech,,"Global March for Elephants, Rhinos and Lions",S16SE160,09/24/2016 12:00:00 AM,09/24/2016 12:00:00 AM,,Queen Anne,7,West,Emerald City Pet Rescue,320.0
03/25/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,The Orca Half,S16SE202,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,West Seattle,1,Southwest;West,Orca Running,650.0
04/06/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Raise the Alarm Route 1: Capitol Hill to Downtown,S16AP233,04/14/2016 12:00:00 AM,04/14/2016 12:00:00 AM,,Downtown,3;7,East;West,Working Washington,120.0
04/06/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Raise the Alarm Route 2: Pike Place to Downtown,S16AP234,04/14/2016 12:00:00 AM,04/14/2016 12:00:00 AM,,Downtown,7,West,Working Washington,120.0
04/07/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Fremont 5K & Briefcase Relay,S16JU235,06/03/2016 12:00:00 AM,06/03/2016 12:00:00 AM,,Fremont,4;6,North,"Pro-Motion Events, Inc.",1250.0
05/24/2016 12:00:00 AM,In Process,Special Event,Citywide,,Seafair Weekend,S16AU305,08/05/2016 12:00:00 AM,08/07/2016 12:00:00 AM,,Mount Baker,1;2;3;4;5;6;7,East;North;South;West,Seafair,175300.0
05/25/2016 12:00:00 AM,Cancelled,Valet Parking,,,Red Carpet Valet - CBRE,S16JU306,06/08/2016 12:00:00 AM,06/08/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,75.0
05/26/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Eats and Beats (7.19),S16JY307,07/19/2016 12:00:00 AM,07/19/2016 12:00:00 AM,,Downtown,7,West,Seafair,200.0
05/26/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Eats and Beats (7.26),S16JY308,07/26/2016 12:00:00 AM,07/26/2016 12:00:00 AM,,Downtown,7,West,Seafair,200.0
05/26/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Eats and Beats (7.12),S16JY309,07/12/2016 12:00:00 AM,07/12/2016 12:00:00 AM,,Downtown,7,West,Seafair,200.0
05/31/2016 12:00:00 AM,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (9.11),S16SE319,09/11/2016 12:00:00 AM,09/11/2016 12:00:00 AM,,Sodo,2,South,CBS Seattle,770.0
05/31/2016 12:00:00 AM,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (9.25),S16SE320,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,Sodo,2,South,CBS Seattle,770.0
05/31/2016 12:00:00 AM,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (10.16),S16OC321,10/16/2016 12:00:00 AM,10/16/2016 12:00:00 AM,,Sodo,2,South,CBS Seattle,770.0
05/31/2016 12:00:00 AM,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (11.20),S16NO322,11/20/2016 12:00:00 AM,11/20/2016 12:00:00 AM,,Sodo,2,South,CBS Seattle,770.0
05/31/2016 12:00:00 AM,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (12.04),S16DE323,12/04/2016 12:00:00 AM,12/04/2016 12:00:00 AM,,Sodo,2,South,CBS Seattle,770.0
08/01/2016 12:00:00 AM,Complete,Special Event,Commercial,,Fuel Outdoor Beer Garden (11.6-7),S16NO413,11/06/2016 12:00:00 AM,11/07/2016 12:00:00 AM,,Pioneer Square,7,South,Fuel Sports Eats and Beats,420.0
08/01/2016 12:00:00 AM,Complete,Special Event,Community,,Fuel Outdoor Been Garden (12.4),S16DE414,12/04/2016 12:00:00 AM,12/04/2016 12:00:00 AM,,Pioneer Square,7,South,Fuel Sports Eats and Beats,420.0
07/29/2016 12:00:00 AM,Complete,Special Event,Community,,Weyerhaeuser Grand Opening,S16OC415,10/21/2016 12:00:00 AM,10/21/2016 12:00:00 AM,,Pioneer Square,7,South,Dover Entertainment,800.0
07/29/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,End AIDS Walk & 5K Run,S16SE416,09/24/2016 12:00:00 AM,09/24/2016 12:00:00 AM,Volunteer Park,Capitol Hill,3,East,Lifelong,2150.0
08/01/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Women of Wonder 10K & 5K Run & Walk,S16SE417,09/11/2016 12:00:00 AM,09/11/2016 12:00:00 AM,Greenlake Park,Green Lake,6,North,"Pro-Motion Events, Inc",1750.0
08/29/2016 12:00:00 AM,Cancelled,Special Event,Free Speech,,A21 Walk For Freedom,S16OC445,10/15/2016 12:00:00 AM,10/15/2016 12:00:00 AM,,Downtown,7,West,City Church,200.0
08/30/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Washington State Nurses Association Informational Picket - Seattle Children's Hospital,S16SE446,09/13/2016 12:00:00 AM,09/13/2016 12:00:00 AM,,Laurelhurst,4,East,Washington State Nurses Association,415.0
08/30/2016 12:00:00 AM,Complete,Special Event,Commercial,,Winter Beer Festival,S16DE447,12/02/2016 12:00:00 AM,12/03/2016 12:00:00 AM,Magnuson Park,Sand Point,4,East,Washington Brewers Guild,3600.0
08/29/2016 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Pre-Game Rally (9.9),S16SE448,09/09/2016 12:00:00 AM,09/09/2016 12:00:00 AM,,University District,4,North,University of Washington Husky Marching Band,1000.0
08/29/2016 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Pre-Game Rally (9.29),S16SE449,09/29/2016 12:00:00 AM,09/29/2016 12:00:00 AM,,University District,4,North,University of Washington Husky Marching Band,1000.0
08/29/2016 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Pre-Game Rally (10.21),S16OC450,10/21/2016 12:00:00 AM,10/21/2016 12:00:00 AM,,University District,4,North,University of Washington Husky Marching Band,1000.0
08/29/2016 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Pre-Game Rally (11.11),S16NO451,11/11/2016 12:00:00 AM,11/11/2016 12:00:00 AM,,University District,4,North,University of Washington Husky Marching Band,1000.0
08/29/2016 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Pre-Game Rally (11.18),S16NO452,11/18/2016 12:00:00 AM,11/18/2016 12:00:00 AM,,University District,4,North,University of Washington Husky Marching Band,1000.0
09/01/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Team RWB Old Glory Relay,S16SE453,09/11/2016 12:00:00 AM,09/11/2016 12:00:00 AM,,Multiple Neighborhoods,2;7,North,Microsoft - Team RWB,150.0
09/01/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Dawg Dash,S16OC454,10/23/2016 12:00:00 AM,10/23/2016 12:00:00 AM,,Multiple Neighborhoods,4,North,"University of Washington, Alumni",2700.0
09/06/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Gen Next (9.14),S16SE455,09/14/2016 12:00:00 AM,09/14/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,20.0
08/22/2016 12:00:00 AM,Complete,Special Event,Community,,Magnolia Village Halloween Trick or Treat,S16OC442,10/31/2016 12:00:00 AM,10/31/2016 12:00:00 AM,,Magnolia,7,West,Magnolia Chamber of Commerce,955.0
08/23/2016 12:00:00 AM,Complete,Special Event,Community,,Trolloween and Haunt of Fremont Procession,S16OC443,10/31/2016 12:00:00 AM,10/31/2016 12:00:00 AM,,Fremont,6,North,Fremont Arts Council,400.0
08/25/2016 12:00:00 AM,Complete,Special Event,Community,,Elysian Brewing’s 2nd Annual Great Pumpkin Weigh-Off,S16OC444,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,Georgetown,2,South,Elysian Brewing,300.0
09/06/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Fashion First,S16SE456,09/16/2016 12:00:00 AM,09/16/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,75.0
09/06/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Georgetown Ballroom,S16SE457,09/21/2016 12:00:00 AM,09/21/2016 12:00:00 AM,,Georgetown,2,South,Red Carpet Valet,100.0
09/06/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Showbox Sodo,S16DE458,12/04/2016 12:00:00 AM,12/04/2016 12:00:00 AM,,Sodo,2,West,Red Carpet Valet,120.0
09/08/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Merrill Gardens,S16SE459,09/29/2016 12:00:00 AM,09/29/2016 12:00:00 AM,,Ballard,6,North,Red Carpet Valet,75.0
09/09/2016 12:00:00 AM,Complete,Valet Parking,,,Gail & Rice Media Drive,S16SE460,09/09/2016 12:00:00 AM,09/17/2016 12:00:00 AM,,Downtown,7,West,"Gail & Rice, Inc.",200.0
10/17/2016 12:00:00 AM,Complete,Special Event,Community,,76 Seafair Holiday Cruise,S16DE495,12/04/2016 12:00:00 AM,12/04/2016 12:00:00 AM,,South Lake Union,3,West,Seafair Foundation,1800.0
10/19/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Proton 360,S16OC496,10/27/2016 12:00:00 AM,10/27/2016 12:00:00 AM,,Pioneer Square,7,South,Red Carpet Valet,40.0
10/24/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (10.27),S16OC497,10/27/2016 12:00:00 AM,10/27/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,505.0
10/24/2016 12:00:00 AM,Complete,Special Event,Community,,Boo Bash at the Beach,S16OC498,10/31/2016 12:00:00 AM,10/31/2016 12:00:00 AM,,Rainier Valley,2,South,Southeast Effective Development/SEED,2100.0
10/25/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Trove,S16NO499,11/03/2016 12:00:00 AM,11/03/2016 12:00:00 AM,,Capitol Hill,3,East,Red Carpet Valet,60.0
10/25/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Grim Home,S16OC500,10/29/2016 12:00:00 AM,10/29/2016 12:00:00 AM,,Capitol Hill,3,East,Butler Valet,100.0
10/28/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (10.30),S16OC501,10/30/2016 12:00:00 AM,10/30/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,505.0
10/27/2016 12:00:00 AM,Complete,Special Event,Community,,Alley Lights,S16DE502,12/03/2016 12:00:00 AM,12/03/2016 12:00:00 AM,,University District,4,North,The U District Partnership,110.0
10/27/2016 12:00:00 AM,Complete,Special Event,Community,,Queen City Yacht Club Presents Chet Gibson Memorial Lighted Boat Parade,S16DE503,12/09/2016 12:00:00 AM,12/10/2016 12:00:00 AM,,South Lake Union,3,West,Queen City Yacht Club,40.0
11/02/2016 12:00:00 AM,Complete,Valet Parking,,,Four Park Avenue - Pacific Northwest Ballet Opening Night,S16NO504,11/04/2016 12:00:00 AM,11/04/2016 12:00:00 AM,,Queen Anne,7,West,Four Park Avenue,30.0
11/03/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Showbox Sodo,S16NO505,11/10/2016 12:00:00 AM,11/10/2016 12:00:00 AM,,Sodo,2,West,Red Carpet Valet,90.0
11/03/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Shade Store,S16NO506,11/09/2016 12:00:00 AM,11/09/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,50.0
11/01/2016 12:00:00 AM,Complete,Special Event,Community,,New Year's at the Needle,S16DE507,12/31/2016 12:00:00 AM,12/31/2016 12:00:00 AM,,Queen Anne,7,West,Seattle Needle LLC,25100.0
11/07/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (11.22),S16NO508,11/22/2016 12:00:00 AM,11/22/2016 12:00:00 AM,Occidental Park,Pioneer Square,7,West,Seattle Sounders FC,500.0
11/07/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Swedish Cherry Hill,S16NO509,11/09/2016 12:00:00 AM,11/09/2016 12:00:00 AM,,First Hill,3,East,Butler Valet,250.0
11/09/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Metropolis,S16NO510,11/17/2016 12:00:00 AM,11/17/2016 12:00:00 AM,,Sodo,2,West,Red Carpet Valet,40.0
09/08/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Indigenous Peoples' Day Celebration March,S16OC461,10/10/2016 12:00:00 AM,10/10/2016 12:00:00 AM,,Downtown,7,West,Canoes C/O Shannon Morrison,220.0
09/09/2016 12:00:00 AM,Complete,Special Event,Free Speech,,"Water is Life - ""Mni Wiconi""",S16SE462,09/16/2016 12:00:00 AM,09/16/2016 12:00:00 AM,,Downtown,7,West,Ndns for Justice,220.0
09/09/2016 12:00:00 AM,Complete,Special Event,Community,,"Toth Construction, Inc Open Haus/Oktoberfest",S16OC463,10/06/2016 12:00:00 AM,10/06/2016 12:00:00 AM,,Georgetown,2,South,Toth Construction,600.0
09/12/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet  - Fremont Studios (10.4),S16OC464,10/04/2016 12:00:00 AM,10/04/2016 12:00:00 AM,,Fremont,6,North,Red Carpet Valet,65.0
09/12/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Seattle Art Museum,S16OC465,10/07/2016 12:00:00 AM,10/07/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,125.0
09/12/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Holy Names Academy,S16OC466,10/12/2016 12:00:00 AM,10/12/2016 12:00:00 AM,,Capitol Hill,3,East,Red Carpet Valet,80.0
09/12/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Fremont Studios (12.3),S16DE467,12/03/2016 12:00:00 AM,12/03/2016 12:00:00 AM,,Fremont,6,North,Red Carpet Valet,400.0
09/12/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Foster White Gallery,S16DE468,12/10/2016 12:00:00 AM,12/10/2016 12:00:00 AM,,Sodo,2,West,Red Carpet Valet,50.0
09/12/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Jingle Bell Run/Walk,S16DE469,12/11/2016 12:00:00 AM,12/11/2016 12:00:00 AM,,Downtown,7,West,Arthritis Foundation,10500.0
08/13/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Aegis of Queen Anne Rodgers Park,S16SE470,09/17/2016 12:00:00 AM,09/17/2016 12:00:00 AM,,Queen Anne,7,West,Butler Valet,250.0
09/14/2016 12:00:00 AM,Complete,Special Event,Community,,Corson Building Wedding (10.8),S16OC471,10/08/2016 12:00:00 AM,10/08/2016 12:00:00 AM,,Georgetown,2,South,The Corson Building,92.0
09/16/2016 12:00:00 AM,Cancelled,Special Event,Free Speech,,Ethiopian Community Protest Rally,S16SE472,09/19/2016 12:00:00 AM,09/19/2016 12:00:00 AM,,Downtown,3,West,Ethiopians in Seattle,520.0
08/10/2016 12:00:00 AM,Complete,Special Event,Community,,PAX West - Magic the Gathering Procession,S16SE432,09/03/2016 12:00:00 AM,09/03/2016 12:00:00 AM,,Downtown,3,West,Siteline Productions,25.0
08/12/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Ethiopian Community Public Protest,S16AU433,08/16/2016 12:00:00 AM,08/16/2016 12:00:00 AM,,Downtown,7,West,Ethiopians in Seattle,500.0
08/15/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Oromo Community Rally Against Ethiopian Government,S16AU434,08/18/2016 12:00:00 AM,08/18/2016 12:00:00 AM,,Downtown,7,West,Oromo Community Service of Seattle,400.0
08/15/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Montlake Community Club 5K Turkey Trot and Kids Run,S16NO435,11/24/2016 12:00:00 AM,11/24/2016 12:00:00 AM,,Montlake,3,North,Montlake Community Club,430.0
08/16/2016 12:00:00 AM,Complete,Special Event,Community,,Bizzarro Italian Café Celebration,S16OC436,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,Wallingford,4,North,Bizzarro Italian Café,425.0
08/16/2016 12:00:00 AM,Complete,Special Event,Community,,West Seattle Harvest Festival,S16OC437,10/30/2016 12:00:00 AM,10/30/2016 12:00:00 AM,,West Seattle,1,West,West Seattle Junction Association,550.0
08/16/2016 12:00:00 AM,Complete,Special Event,Community,,West Seattle Hometown Holidays,S16DE438,12/03/2016 12:00:00 AM,12/03/2016 12:00:00 AM,,West Seattle,1,West,West Seattle Junction Association,770.0
