Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App.,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
,Cancelled,Special Event,Athletic,Run/Walk,NAACP Run Your Race,S14SE009,09/20/2014 12:00:00 AM,09/20/2014 12:00:00 AM,,Central District,,,Seatttle King County NAACP,500
,Complete,Special Event,Community,,San Gennaro Festival,S14SE136,09/05/2014 12:00:00 AM,09/07/2014 12:00:00 AM,,Georgetown,,,San Gennaro Foundation,1950
,Complete,Special Event,Community,,NEPO 5K Don't Run,S14SE163,09/06/2014 12:00:00 AM,09/06/2014 12:00:00 AM,Hing Hay Park,International District,,,NEPO House,900
,Complete,Special Event,Commercial,,Fremont Oktoberfest,S14SE172,09/19/2014 12:00:00 AM,09/21/2014 12:00:00 AM,,Fremont,,,Fremont Chamber of Commerce,16450
,Complete,Special Event,Athletic,Run/Walk,Fremont Oktoberfest 5K Run,S14SE173,09/21/2014 12:00:00 AM,09/21/2014 12:00:00 AM,Burke Gilman Trail,Fremont,,,Bold Hat Productions,1230
,Complete,Special Event,Community,,Night Market and Moon Festival,S14SE182,09/13/2014 12:00:00 AM,09/13/2014 12:00:00 AM,,International District,,,Chinatown-ID BIA,9030
,Complete,Special Event,Community,,Out to Lunch Summer Concert Series,S14SE188,09/03/2014 12:00:00 AM,09/03/2014 12:00:00 AM,Bell Street Park,Belltown,,,Metropolitan Improvement Distrit,215
,Complete,Special Event,Community,,NFL Kickoff,S14SE189,09/03/2014 12:00:00 AM,09/04/2014 12:00:00 AM,Occidental Park,Pioneer Square,,,National Football League,35000
,Complete,Special Event,Athletic,Run/Walk,NFL Kickoff Run,S14SE200,09/01/2014 12:00:00 AM,09/01/2014 12:00:00 AM,,Sodo,,,"Easy Day Sports, LLC",6000
,Cancelled,Special Event,Community,,Out to Lunch Summer Concert Series (9.3),S14SE207,09/03/2014 12:00:00 AM,09/03/2014 12:00:00 AM,OTHER,Belltown,,,Metropolitan Improvement District,215
,Cancelled,Charter Vessel,,,Argosy - Lady Mary,CV14JY314,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,Argosy LP,170
,Complete,Charter Vessel,,,Argosy - Celebrations,CV14JY315,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,Argosy LP,100
,Complete,Charter Vessel,,,Argosy - Goodtime 3,CV14JY316,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,Argosy LP,170
,Complete,Charter Vessel,,,Argosy - Sightseer,CV14JY317,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,Argosy LP,130
,Complete,Charter Vessel,,,Argosy - Champagne Lady,CV14JY318,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,Argosy LP,90
,Complete,Charter Vessel,,,Anchor Bay Charters - Seeker,CV14JY321,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,Anchor Bay Charters,30
,Complete,Charter Vessel,,,Sternwheeler - Christine W.,CV14JY322,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,Sternwheeler Charters LLC,49
,Complete,Charter Vessel,,,Spirit of 76,CV14JY323,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,S 76 Holdings LLC,100
,Complete,Charter Vessel,,,Argosy Cruises - Lady Mary,CV14JY325,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,Argosy LP,170
,Complete,Charter Vessel,,,"Seattle Ferry Service, LLC - Fremont Ave",CV14JY335,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,Seattle Ferry Service LLC,30
,Complete,Charter Vessel,,,Lake Union Charters - Trek,CV14JY342,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,Lake Union Charters & Adventures,85
,Complete,Charter Vessel,,,Venture Charters -Joker,CV14JY343,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,Venture Charters,20
,Complete,Charter Vessel,,,Waterways Cruises - Destiny,CV14JY344,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,Waterways Cruises and Events,40
,Complete,Charter Vessel,,,Waterways Cruises - Olympic Star,CV14JY345,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,Waterways Cruises and Events,76
,Complete,Charter Vessel,,,Waterways Cruises - Emerald Star,CV14JY346,07/04/2014 12:00:00 AM,07/04/2014 12:00:00 AM,,Fremont,,,Waterways Cruises and Events,107
,Complete,Charter Vessel,,,"Seattle Ferry Service, LLC - Fremont Avenue",CV15JY289,07/04/2015 12:00:00 AM,07/04/2015 12:00:00 AM,,Wallingford,4,North,"Seattle Ferry Service, LLC",42
,Complete,Charter Vessel,,,"Venture Charters, Inc - Joker",CV15JY309,07/04/2015 12:00:00 AM,07/04/2015 12:00:00 AM,,Wallingford,4,North,Venture Charters Inc.,30
,Complete,Charter Vessel,,,Argosy Cruises - Champagne Lady,CV15JY312,07/04/2015 12:00:00 AM,07/04/2015 12:00:00 AM,,Wallingford,4,North,Argosy Cruises,149
,Complete,Charter Vessel,,,Argosy Cruises - Sightseer,CV15JY313,07/04/2015 12:00:00 AM,07/04/2015 12:00:00 AM,,Wallingford,4,North,Argosy Cruises,250
,Complete,Charter Vessel,,,Argosy Cruises - Lady Mary,CV15JY314,07/04/2015 12:00:00 AM,07/04/2015 12:00:00 AM,,Wallingford,4,North,Argosy Cruises,298
,Complete,Charter Vessel,,,Argosy Cruises - Celebrations,CV15JY316,07/04/2015 12:00:00 AM,07/04/2015 12:00:00 AM,,Wallingford,4,North,Argosy Cruises,149
,Complete,Charter Vessel,,,Anchor Bay Charters - Seeker,CV15JY317,07/04/2015 12:00:00 AM,07/04/2015 12:00:00 AM,,Wallingford,4,North,Anchor Bay Charters,49
,Complete,Charter Vessel,,,SternWheeler Charters LLC - Christine W,CV15JY318,07/04/2015 12:00:00 AM,07/04/2015 12:00:00 AM,,Wallingford,4,North,SternWheeler Charters LLC,49
,Complete,Charter Vessel,,,Waterways Cruises and Events - Olympic Star,CV15JY322,07/04/2015 12:00:00 AM,07/04/2015 12:00:00 AM,,Wallingford,4,North,Waterways Cruises and Events,111
,Complete,Charter Vessel,,,Waterways Cruises and Events - Emerald Star,CV15JY325,07/04/2015 12:00:00 AM,07/04/2015 12:00:00 AM,,Wallingford,4,North,Waterways Cruises and Events,200
,Complete,Charter Vessel,,,Sound San Juan Services LLC - M/V Trek,CV15JY334,07/04/2015 12:00:00 AM,07/04/2015 12:00:00 AM,,Wallingford,4,North,Sound San Juan Services LLC,105
,Complete,Charter Vessel,,,Waterways Cruises and Events - Destiny,CV15JY343,07/04/2015 12:00:00 AM,07/04/2015 12:00:00 AM,,Wallingford,4,North,Waterways Cruises and Events,200
,Complete,Special Event,Commercial,,National Geographic Live! Student Matinee (4/14),S14AP026,04/14/2014 12:00:00 AM,04/14/2014 12:00:00 AM,,Downtown,,,Benaroya Hall,2540
,Cancelled,Special Event,Community,,Caffe Vita 20th Anniversary,S14AP032,04/26/2014 12:00:00 AM,04/26/2014 12:00:00 AM,,Capitol Hill,,,Caffe Vita Coffee Roasting Company,2000
,Complete,Special Event,Athletic,Run/Walk,Walk MS,S14AP066,04/13/2014 12:00:00 AM,04/13/2014 12:00:00 AM,Gas Works Park,Multiple Neighborhoods,,,National Multiple Sclerosis Society - Greater Northwest Chapter,4200
,Complete,Special Event,Athletic,Run/Walk,Top Pot Doughnut Dash,S14AP092,04/27/2014 12:00:00 AM,04/27/2014 12:00:00 AM,Greenlake Park,Green Lake,,,"Pro-Motion Events, Inc.",2500
,Complete,Special Event,Athletic,Run/Walk,Earth Day Run,S14AP125,04/19/2014 12:00:00 AM,04/19/2014 12:00:00 AM,Alki Beach,West Seattle,,,Run for Good Racing,1100
,Complete,Special Event,Commercial,,NFFTY Opening Night,S14AP126,04/24/2014 12:00:00 AM,04/24/2014 12:00:00 AM,,Downtown,,,The Talented Youth (NFFTY),800
,Complete,Special Event,Athletic,Water,UW Husky Open Regatta,S14AP128,04/05/2014 12:00:00 AM,04/05/2014 12:00:00 AM,,Montlake,,,University of Wasington Rowing,700
,Complete,Special Event,Athletic,Water,UW Stanford WSU Duals Regatta,S14AP157,04/12/2014 12:00:00 AM,04/12/2014 12:00:00 AM,,Montlake,,,UW Rowing,700
,Complete,Special Event,Commercial,,Seattle Symphony Friday Matinees Concert (4/18),S14AP162,04/18/2014 12:00:00 AM,04/18/2014 12:00:00 AM,,Downtown,,,Seattle Symphony,398
,Complete,Special Event,Community,,Magnolia Springfest (April),S14AP179,04/25/2014 12:00:00 AM,04/25/2014 12:00:00 AM,,Magnolia,,,Magnolia Chamber of Commerce,320
,Complete,Valet Parking,,,Palace Ballroom,S14AP187,04/09/2014 12:00:00 AM,04/09/2014 12:00:00 AM,,Belltown,,,Red Carpet Valet,75
,Complete,Valet Parking,,,1927 Events,S14AP193,04/19/2014 12:00:00 AM,04/19/2014 12:00:00 AM,,Downtown,,,Red Carpet Valet,40
,Complete,Valet Parking,,,Valet Parking for NFFTY Opening Night,S14AP195,04/20/2014 12:00:00 AM,04/20/2014 12:00:00 AM,,South Lake Union,,,NFFTY,750
,Complete,Valet Parking,,,WA CASH,S14AP196,04/25/2014 12:00:00 AM,04/25/2014 12:00:00 AM,,Georgetown,,,Red Carpet Valet,100
,Complete,Special Event,Commercial,,Seattle Symphony Open Rehearsal (4.22),S14AP203,04/22/2014 12:00:00 AM,04/22/2014 12:00:00 AM,,Downtown,,,Seattle Symphony,780
,Complete,Special Event,Community,,Sounders FC March to the Match (4/26),S14AP223,04/26/2014 12:00:00 AM,04/26/2014 12:00:00 AM,Occidental Park,Pioneer Square,,,Seattle Sounders FC,315
,Complete,Special Event,Commercial,,Red Bull Soapbox Race - Seattle 2014,S14AU002,08/24/2014 12:00:00 AM,08/24/2014 12:00:00 AM,OTHER,Pioneer Square,,,Red Bull North America,
,Cancelled,Special Event,Athletic,Cycling,Gigantic Bicycle Festival,S14AU005,08/23/2014 12:00:00 AM,08/23/2014 12:00:00 AM,Magnuson Park,Sand Point,,,The Levee Breaking,1700
,Complete,Special Event,Mixed Free Speech,,Seattle Hempfest 2014,S14AU103,08/15/2014 12:00:00 AM,08/17/2014 12:00:00 AM,Myrtle Edwards Park,Downtown,,,Seattle Events A Non-Profit Corporation,102000
,Complete,Special Event,Athletic,Run/Walk,Alki 5K Beach Run,S14AU127,08/24/2014 12:00:00 AM,08/24/2014 12:00:00 AM,Alki Beach,West Seattle,,,Northwest Hope and Healing Foundation,1300
,Complete,Special Event,Athletic,Run/Walk,Iron Girl Seattle Triathlon,S14AU131,08/17/2014 12:00:00 AM,08/17/2014 12:00:00 AM,Genessee Park,Rainier Valley,,,Iron Girl,4000
,Complete,Special Event,Athletic,Other,Park to Park Swim,S14AU159,08/24/2014 12:00:00 AM,08/24/2014 12:00:00 AM,OTHER,Wedgwood,,,Seattle Children's Hospital,325
,Cancelled,Special Event,Community,,Afrolatino Festival Seattle,S14AU160,08/17/2014 12:00:00 AM,08/17/2014 12:00:00 AM,Magnuson Park,Sand Point,,,Afrolatino Festival,250
,Complete,Special Event,Community,,Rainier Court Community Festival,S14AU171,08/23/2014 12:00:00 AM,08/23/2014 12:00:00 AM,,Rainier Valley,,,Senior Housing Assistance Group (SHAG),560
,Complete,Special Event,Community,,PhinneyWood Summer Streets and Soccer Tournament,S14AU183,08/09/2014 12:00:00 AM,08/09/2014 12:00:00 AM,,Phinney Ridge,,,SDOT,3075
,Complete,Special Event,Athletic,Cycling,Obliteride,S14AU199,08/08/2014 12:00:00 AM,08/10/2014 12:00:00 AM,Multiple Parks,Multiple Neighborhoods,,,Fred Hutchinson Cancer Research Center,6000
,Complete,Special Event,Community,,Umoja Fest Festival,S14AU201,08/01/2014 12:00:00 AM,08/03/2014 12:00:00 AM,Multiple Parks,Rainier Valley,,,Umoja Fest,4200
,Complete,Special Event,Community,,Umoja Fest Parade,S14AU202,08/02/2014 12:00:00 AM,08/02/2014 12:00:00 AM,Multiple Parks,Multiple Neighborhoods,,,Umoja Fest,975
,Complete,Special Event,Community,,Concerts at the Belltown ArtWalk (8.8),S14AU206,08/08/2014 12:00:00 AM,08/08/2014 12:00:00 AM,Bell Street Park,Belltown,,,Metropolitan Improvement District,215
,Complete,Special Event,Citywide,,Seafair Hydro Races Weekend,S14AU234,08/01/2014 12:00:00 AM,08/03/2014 12:00:00 AM,Seward Park,Seward Park,,,Seafair,50000
,Complete,Special Event,Community,,TK Art of the City: Tashiro Kaplan Artist Lofts 10th Anniversary Art Street Fair,S14AU244,08/02/2014 12:00:00 AM,08/02/2014 12:00:00 AM,,Pioneer Square,,,Tashiro Kaplan Tenants Association,1150
,Complete,Special Event,Community,,Magnolia Summerfest & Art Show,S14AU273,08/01/2014 12:00:00 AM,08/02/2014 12:00:00 AM,,Magnolia,,,Magnolia Chamber of Commerce,8900
,Complete,Special Event,Community,,Greatest Party Known to Humankind,S14AU274,08/01/2014 12:00:00 AM,08/01/2014 12:00:00 AM,,Georgetown,,,Dead Baby Bikes,3600
,Complete,Special Event,Community,,SalmonFest Seattle,S14AU275,08/01/2014 12:00:00 AM,08/03/2014 12:00:00 AM,OTHER,Lake City,,,North Seattle Chamber of Commerce,9620
,Complete,Special Event,Community,,Seattle Street Food Festival,S14AU276,08/08/2014 12:00:00 AM,08/09/2014 12:00:00 AM,Cal Anderson Park,Capitol Hill,,,Piranha Blonde,10260
,Complete,Special Event,Community,,South Lake Union Block Party,S14AU277,08/08/2014 12:00:00 AM,08/08/2014 12:00:00 AM,,Downtown,,,"Vulcan, Inc",3125
,Complete,Special Event,Community,,Magnolia Village Car Show,S14AU278,08/09/2014 12:00:00 AM,08/09/2014 12:00:00 AM,,Magnolia,,,Werner's Crash Shop/Magnolia Chamber of Commerce,880
,Complete,Special Event,Athletic,Run/Walk,Lake Union 10K,S14AU279,08/10/2014 12:00:00 AM,08/10/2014 12:00:00 AM,Lake Union Park,South Lake Union,,,5focus,1400
,Complete,Special Event,Community,,Geocaching Block Party,S14AU280,08/16/2014 12:00:00 AM,08/16/2014 12:00:00 AM,,Fremont,,,Geocaching,1500
,Cancelled,Special Event,Community,,Heritage Festival After Hours,S14AU281,08/16/2014 12:00:00 AM,08/16/2014 12:00:00 AM,,Rainier Valley,,,Heritage Festival,206
,Complete,Special Event,Community,,Rainier Valley Summer Streets,S14AU282,08/16/2014 12:00:00 AM,08/16/2014 12:00:00 AM,,Rainier Valley,,,Seattle Department of Transportation,3020
,Complete,Special Event,Community,,Rainier Valley Heritage Parade,S14AU283,08/16/2014 12:00:00 AM,08/16/2014 12:00:00 AM,,Rainier Valley,,,Seattle Department of Transportation,950
,Complete,Special Event,Athletic,Run/Walk,Seattle Marathon 10K Race 2014,S14AU284,08/23/2014 12:00:00 AM,08/23/2014 12:00:00 AM,Gas Works Park,South Lake Union,,,Seattle Marathon Association,2200
,Complete,Special Event,Community,,Hopscotch CD,S14AU286,08/23/2014 12:00:00 AM,08/23/2014 12:00:00 AM,OTHER,Central District,,,Jackson Commons,1050
,Complete,Special Event,Athletic,Run/Walk,"UNCF Walk, Run, Bike for Education",S14AU300,08/30/2014 12:00:00 AM,08/30/2014 12:00:00 AM,OTHER,Central District,,,UNCF,250
,Complete,Special Event,Free Speech,,Men's March and Stand Against Demand,S14AU303,08/09/2014 12:00:00 AM,08/09/2014 12:00:00 AM,,Queen Anne,,,Seattle Against Slavery,150
,Complete,Special Event,Athletic,Other,Over the Edge Seattle for Special Olympics Washington,S14AU304,08/09/2014 12:00:00 AM,08/10/2014 12:00:00 AM,,Downtown,,,Special Olympics Washington,1076
,Complete,Special Event,Community,,Post Alley Hooley,S14AU307,08/07/2014 12:00:00 AM,08/07/2014 12:00:00 AM,,Downtown,,,Post Alley Project,1050
,Complete,Special Event,Community,,Celebrate Little Saigon,S14AU313,08/24/2014 12:00:00 AM,08/24/2014 12:00:00 AM,,International District,,,Friends of Little Saigon,550
,Complete,Special Event,Community,,Magnolia Seafair Parade & Kid's Parade,S14AU319,08/02/2014 12:00:00 AM,08/02/2014 12:00:00 AM,,Magnolia,,,Magnolia Chamber of Commerce and Seafair,6300
,Complete,Special Event,Commercial,,SPPLUS Event (8.15),S14AU320,08/15/2014 12:00:00 AM,08/15/2014 12:00:00 AM,,Queen Anne,,,,2940
,Complete,Special Event,Commercial,,Fuel Outdoor Beer Garden (8/24),S14AU326,08/24/2014 12:00:00 AM,08/24/2014 12:00:00 AM,,Pioneer Square,,,Fuel Sports Eats and Beats,420
,Complete,Special Event,Community,,SalmonFest Seattle Parade,S14AU330,08/02/2014 12:00:00 AM,08/02/2014 12:00:00 AM,,Lake City,,,North Seattle Chamber of Commerce,4600
,Complete,Special Event,Community,,Kawabe Summer Festival,S14AU334,08/24/2014 12:00:00 AM,08/24/2014 12:00:00 AM,,Central District,,,Kawabe Memorial House,400
,Complete,Special Event,Athletic,Run/Walk,Run Like A Viking 5K,S14AU336,08/16/2014 12:00:00 AM,08/16/2014 12:00:00 AM,Golden Gardens Park,Ballard,,,Nordic Heritage Museum,550
,Complete,Special Event,Community,,Fire Festival,S14AU337,08/15/2014 12:00:00 AM,08/17/2014 12:00:00 AM,Occidental Park,Pioneer Square,,,Downtown Seattle Association,6215
,Cancelled,Special Event,Community,,1900 1st Avenue Block Party,S14AU339,08/10/2014 12:00:00 AM,08/10/2014 12:00:00 AM,,Downtown,,,1900 1st Avenue Block Party,511
,Complete,Special Event,Commercial,,Ride to the Arena,S14AU341,08/17/2014 12:00:00 AM,08/17/2014 12:00:00 AM,Seattle Center,Downtown,,,Union Ride & Charity Rally,520
,Complete,Special Event,Commercial,,PAX EXPO (Street Use),S14AU351,08/29/2014 12:00:00 AM,09/01/2014 12:00:00 AM,,Downtown,,,Reed Exhibitions/Penny Arcade,80000
,Complete,Special Event,Commercial,,Bumbershoot - Street/Sidewalk use,S14AU354,08/25/2014 12:00:00 AM,09/05/2014 12:00:00 AM,Seattle Center,Queen Anne,,,One Reel,
,Complete,Special Event,Athletic,Other,Swim for Life,S14AU366,08/20/2014 12:00:00 AM,08/20/2014 12:00:00 AM,Madison Park,Madison Park,,,Puget Sound Blood Center,350
,Complete,Special Event,Commercial,,Tableau Software Open House,S14AU367,08/14/2014 12:00:00 AM,08/14/2014 12:00:00 AM,,Eastlake,,,Tableau Software,800
,Complete,Special Event,Community,,Sounders FC March to the Match (8/10),S14AU371,08/10/2014 12:00:00 AM,08/10/2014 12:00:00 AM,Occidental Park,Pioneer Square,,,Seattle Sounders FC,705
,Complete,Special Event,Community,,Sounders FC March to the Match (8/20),S14AU372,08/20/2014 12:00:00 AM,08/20/2014 12:00:00 AM,Occidental Park,Pioneer Square,,,Seattle Sounders FC,505
,Complete,Special Event,Community,,Sounders FC March to the Match (8/30),S14AU373,08/30/2014 12:00:00 AM,08/30/2014 12:00:00 AM,Occidental Park,Pioneer Square,,,Seattle Sounders FC,705
,Cancelled,Special Event,Community,,Melrose Market Street Festival,S14AU378,08/24/2014 12:00:00 AM,08/24/2014 12:00:00 AM,,Capitol Hill,,,Sitka & Spruce,220
,Complete,Valet Parking,,,Graham & Dunn,S14AU379,08/14/2014 12:00:00 AM,08/14/2014 12:00:00 AM,,Downtown,,,Red Carpet Valet,300
,Complete,Valet Parking,,,Butch Blum,S14AU384,08/01/2014 12:00:00 AM,08/01/2014 12:00:00 AM,,Downtown,,,Red Carpet Valet,80
,Complete,Special Event,Commercial,,Sunset Supper at the Market,S14AU386,08/15/2014 12:00:00 AM,08/15/2014 12:00:00 AM,,Downtown,,,Market Foundation,1075
,Cancelled,Special Event,Commercial,,Seagal Calendar Unveiling,S14AU391,08/11/2014 12:00:00 AM,08/11/2014 12:00:00 AM,,Downtown,,,The Triple Door,0
,Complete,Special Event,Community,,Sea Hawkers 6th Annual Kick Off Party,S14AU397,08/07/2014 12:00:00 AM,08/07/2014 12:00:00 AM,,Pioneer Square,,,Sea Hawkers Booster Club,150
,Complete,Valet Parking,,,Celebrity Steak Out,S14AU410,08/19/2014 12:00:00 AM,08/19/2014 12:00:00 AM,,Downtown,,,Red Carpet Valet,150
,Complete,Valet Parking,,,LC Watson,S14AU411,08/22/2014 12:00:00 AM,08/22/2014 12:00:00 AM,,Pioneer Square,,,Red Carpet Valet,80
,Complete,Special Event,Commercial,,Sunset Overdrive Shuttle,S14AU412,08/29/2014 12:00:00 AM,09/01/2014 12:00:00 AM,,Capitol Hill,,,BeCore,800
,Complete,Special Event,Commercial,,Potala Tower Seattle Groundbreaking Ceremony,S14AU417,08/28/2014 12:00:00 AM,08/28/2014 12:00:00 AM,,Belltown,,,"Potala Tower Seattle, LLC",100
,Complete,Special Event,Athletic,Run/Walk,Jingle Bell Run/Walk for Arthritis,S14DE299,12/14/2014 12:00:00 AM,12/14/2014 12:00:00 AM,West Seattle Stadium,Downtown,,,"Arthritis Foundation, Great West Region, Inc.",11500
,Complete,Special Event,Commercial,,CBS Radio Tailgate (12.14),S14DE404,12/14/2014 12:00:00 AM,12/14/2014 12:00:00 AM,,Pioneer Square,,,CBS Seattle,770
,Complete,Special Event,Commercial,,CBS Radio Tailgate (12.28),S14DE405,12/28/2014 12:00:00 AM,12/28/2014 12:00:00 AM,,Pioneer Square,,,CBS Seattle,770
,Complete,Special Event,Commercial,,76 Seafair Holiday Cruise,S14DE426,12/07/2014 12:00:00 AM,12/07/2014 12:00:00 AM,,South Lake Union,,,Seafair Foundation,2350
,Cancelled,Special Event,Community,,Columbia City Holiday Festival,S14DE427,12/06/2014 12:00:00 AM,12/06/2014 12:00:00 AM,,Columbia City,,,Columbia  City Business Association,260
,Complete,Special Event,Community,,The 28th Annual Great Figgy Pudding Caroling Competition,S14DE431,12/05/2014 12:00:00 AM,12/05/2014 12:00:00 AM,,Downtown,,,Pike Market Senior Center & Food Bank,9000
,Complete,Special Event,Commercial,,Washington Brewers Guild Winter Beer Festival,S14DE433,12/05/2014 12:00:00 AM,12/06/2014 12:00:00 AM,,Sand Point,,,Washington Brewers Guild w/Pro-Motion Events,2850
,Cancelled,Special Event,Community,,Ballard New Year's Eve Celebration,S14DE434,12/31/2014 12:00:00 AM,01/01/2015 12:00:00 AM,,Ballard,,,"Timber Partners, LLC/Cavilier Bros., LLC",1050
,Complete,Special Event,Community,,Alley Lights (Alley Activation Event),S14DE441,12/06/2014 12:00:00 AM,12/06/2014 12:00:00 AM,,University District,,,The U District Partnership,170
,Complete,Special Event,Free Speech,,Our Lady of the Americas (Guadalupe) Procession,S14DE449,12/06/2014 12:00:00 AM,12/06/2014 12:00:00 AM,,Central District,,,Catholic Coporation of the Archdiocese of Seattle,1060
,Complete,Special Event,Community,,New Year's at the Needle,S14DE453,12/31/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Seattle Center,Queen Anne,,,Space Needle LLC,16050
,Complete,Special Event,Community,,Magnolia Winterfest,S14DE457,12/06/2014 12:00:00 AM,12/06/2014 12:00:00 AM,,Magnolia,,,Magnolia Chamber of Commerce,905
,Complete,Special Event,Community,,Chet Gibson Lighted Boat Parade,S14DE459,12/12/2014 12:00:00 AM,12/13/2014 12:00:00 AM,Lake Union Park,South Lake Union,,,Queen City Yacht Club,75
,Complete,Special Event,Commercial,,Wildrose 30th Anniversary Party,S14DE462,12/31/2014 12:00:00 AM,12/31/2014 12:00:00 AM,,Capitol Hill,,,Wildrose,950
,Complete,Special Event,Community,,Pioneer Square Howlidays,S14DE464,12/13/2014 12:00:00 AM,12/13/2014 12:00:00 AM,Occidental Park,Pioneer Square,,,Alliance for Pioneer Square,550
,Complete,Special Event,Commercial,,Seattle Symphony:  Friday Matinees Concert,S14DE466,12/12/2014 12:00:00 AM,12/12/2014 12:00:00 AM,,Downtown,,,Seattle Symphony/Benaroya Hall,280
,Complete,Valet Parking,,,Red Carpet Valet - Capelli's,"S14DE467
7",12/02/2014 12:00:00 AM,12/02/2014 12:00:00 AM,,Westlake,,,Red Carpet Valet,50
,Complete,Valet Parking,,,Red Carpet Valet - SODO Park,S14DE468,12/03/2014 12:00:00 AM,12/03/2014 12:00:00 AM,,Sodo,,,Red Carpet Valet,100
,Complete,Valet Parking,,,Red Carpet Valet - Chihuly Boat House (12.5),S14DE469,12/05/2014 12:00:00 AM,12/05/2014 12:00:00 AM,,Fremont,,,Red Carpet Valet,125
,Complete,Valet Parking,,,Red Carpet Valet - Coterie Room,S14DE470,12/05/2014 12:00:00 AM,12/05/2014 12:00:00 AM,,Belltown,,,Red Carpet Valet,70
,Complete,Valet Parking,,,Red Carpet Valet - Aston Manor (12.5),S14DE471,12/05/2014 12:00:00 AM,12/05/2014 12:00:00 AM,,Sodo,,,Red Carpet Valet,150
,Complete,Valet Parking,,,Red Carpet Valet - Showbox SODO,S14DE472,12/07/2014 12:00:00 AM,12/07/2014 12:00:00 AM,,Sodo,,,Red Carpet Valet,125
,Complete,Valet Parking,,,Red Carpet Valet - Chihuly Boat House (12.12),S14DE473,12/12/2014 12:00:00 AM,12/12/2014 12:00:00 AM,,Fremont,,,Red Carpet Valet,70
,Complete,Valet Parking,,,Red Carpet Valet - Chihuly Boat House (12.14),S14DE474,12/14/2014 12:00:00 AM,12/14/2014 12:00:00 AM,,Fremont,,,Red Carpet Valet,75
,Complete,Valet Parking,,,Red Carpet Valet - 415 Westlake,S14DE475,12/18/2014 12:00:00 AM,12/18/2014 12:00:00 AM,,Westlake,,,Red Carpet Valet,70
,Complete,Valet Parking,,,Red Carpet Valet - Puget Sound Institute of Pathology,S14DE476,12/20/2014 12:00:00 AM,12/20/2014 12:00:00 AM,,South Lake Union,,,Red Carpet Valet,15
,Complete,Valet Parking,,,Starbucks and Tom Douglas Joint (12.3),S14DE477,12/03/2014 12:00:00 AM,12/03/2014 12:00:00 AM,,Capitol Hill,,,Red Carpet Valet,60
,Complete,Valet Parking,,,Starbucks and Tom Douglas Joint (12.4),S14DE478,12/04/2014 12:00:00 AM,12/04/2014 12:00:00 AM,,Capitol Hill,,,Red Carpet Valet,60
,Complete,Valet Parking,,,Red Carpet Valet - Julie Kemp,S14DE479,12/11/2014 12:00:00 AM,12/11/2014 12:00:00 AM,,Downtown,,,Red Carpet Valet,30
,Complete,Valet Parking,,,Red Carpet Valet - Chihuly Boat House (12.11),S14DE480,12/11/2014 12:00:00 AM,12/11/2014 12:00:00 AM,,Fremont,,,Red Carpet Valet,125
,Complete,Special Event,Free Speech,,Protest Against Police Brutality,S14DE481,12/04/2014 12:00:00 AM,12/04/2014 12:00:00 AM,,Central District,,,N/A,400
,Complete,Valet Parking,,,Red Carpet Valet - Fremont Foundry,S14DE482,12/12/2014 12:00:00 AM,12/12/2014 12:00:00 AM,,Fremont,,,Red Carpet Valet,140
,Complete,Valet Parking,,,Red Carpet Valet - Shankland,S14DE483,12/11/2014 12:00:00 AM,12/11/2014 12:00:00 AM,,Pioneer Square,,,Red Carpet Valet,50
,Complete,Special Event,Free Speech,,Justice for Mike Brown & Taking Back Our Hill,S14DE484,12/15/2014 12:00:00 AM,12/15/2014 12:00:00 AM,Volunteer Park,Capitol Hill,,,Laur Ingalis-Wilder,201
,Complete,Special Event,Community,,Lunar New Year Celebration,S14FE012,02/01/2014 12:00:00 AM,02/01/2014 12:00:00 AM,Hing Hay Park,International District,,,Chinatown-ID Business Improvement Area,4950
,Complete,Special Event,Commercial,,Seattle Symphony: Link Up Concerts,S14FE028,02/25/2014 12:00:00 AM,02/28/2014 12:00:00 AM,,Downtown,,,Benaroya Hall,7800
